,Period,Year,Month,Location,Gender,Age-group,Occupation,Income Level,"Personal Hygiene (eg Soap, toothpaste)",Cleaning products,Long lasting (dry) groceries,"Fresh groceries (Fruits, vegetables)",Medicines/Natural remedies,Alcohol beverages,Skin care (eg. Body lotion),Hair care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Electronics (eg Phone, Computers)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime/Data bundles
62,2024-12-20,2024,12,N11,Female,Gen X,Business owner,Middle Income,Same,Less,Same,Same,Less,Not sure,Same,More,Same,Same,Same,Same,Less
63,2024-12-20,2024,12,N11,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Not sure,Less,Same,Same,Same,Same,Same,Same,Less
64,2024-12-20,2024,12,N11,Female,Millennials,Self employed/Contractor,Middle Income,More,More,Same,Same,Same,Not sure,Less,Same,More,Same,More,More,Same
65,2024-12-20,2024,12,N12,Male,Gen X,Salaried employee,Middle Income,More,More,Same,More,More,Not sure,More,Not sure,More,More,More,More,More
66,2024-12-20,2024,12,N12,Female,Millennials,Salaried employee,Middle Income,More,More,More,More,Same,Less,More,More,More,Same,More,More,Same
67,2024-12-20,2024,12,N12,Male,Gen Z,Salaried employee,Middle Income,Same,Same,Less,Less,Same,More,Same,Same,More,Same,Same,More,More
68,2024-12-20,2024,12,N12,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,More,Same,Same,More,Same,Same,Same,Same,Same,More
69,2024-12-20,2024,12,N12,Female,Gen Z,Salaried employee,Middle Income,Same,Same,More,Same,Less,Not sure,More,More,Same,Same,More,More,Same
70,2024-12-20,2024,12,N12,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Same,Same,Less,Same,Same,Same,Same,Same
71,2024-12-20,2024,12,N12,Male,Millennials,Salaried employee,Middle Income,Same,Same,Not sure,Less,Less,Same,Not sure,Not sure,Less,Not sure,Less,Same,Less
72,2024-12-20,2024,12,N12,Female,Gen X,Salaried employee,Middle Income,Same,Same,Less,More,Less,Not sure,Same,Less,Less,Less,Less,Same,More
73,2024-12-20,2024,12,N12,Male,Gen Z,Salaried employee,Middle Income,Less,Less,Not sure,Less,Less,Less,Less,Not sure,Less,Less,Less,Less,Less
74,2024-12-20,2024,12,N12,Female,Baby Boomers,Unemployed,High Income,More,More,More,More,Less,Not sure,More,More,Less,Less,More,More,More
75,2024-12-20,2024,12,N12,Male,Millennials,Business owner,Low Income,Same,Same,Less,Same,Less,Not sure,Same,Less,Less,Same,Less,Same,More
76,2024-12-20,2024,12,N12,Female,Gen Z,Student,Low Income,Same,Same,Less,Same,Less,Same,More,Same,More,Less,More,Same,Same
77,2024-12-20,2024,12,N12,Male,Baby Boomers,Unemployed,Middle Income,Less,Same,Same,Same,Same,Not sure,Less,Not sure,More,Same,Same,Less,More
78,2024-12-20,2024,12,N12,Male,Gen Z,Business owner,High Income,More,More,More,More,More,More,More,More,More,More,More,More,More
79,2024-12-20,2024,12,N13,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Less,Same,Less,Less,Less,Same
80,2024-12-20,2024,12,N13,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Less,Same,Not sure,Less,Less,Less,Less,Same
81,2024-12-20,2024,12,N13,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Less,Same,Less,Less,Same,Less,Less,More
82,2024-12-20,2024,12,N13,Female,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Same
83,2024-12-20,2024,12,N13,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Less,Same,Less,Less,Less,Less,Less,Same
84,2024-12-20,2024,12,N13,Female,Millennials,Salaried employee,Middle Income,More,Same,More,Same,Less,Less,Less,Less,Less,Less,Less,Less,Same
85,2024-12-20,2024,12,N13,Male,Gen Z,Student,Middle Income,Same,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Same
86,2024-12-20,2024,12,N13,Male,Baby Boomers,Unemployed,Middle Income,Same,Less,Less,Same,Less,Less,Less,Not sure,Less,Less,Less,Less,Less
87,2024-12-20,2024,12,N13,Female,Gen Z,Student,Middle Income,Same,Same,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
88,2024-12-20,2024,12,N13,Female,Baby Boomers,Unemployed,Middle Income,Same,Same,Same,Same,Less,Less,Same,Same,Less,Less,Less,Less,Same
89,2024-12-20,2024,12,N13,Female,Gen X,Business owner,Middle Income,Same,Same,Same,Same,Less,Less,Same,Less,Less,Less,Less,Less,Same
90,2024-12-20,2024,12,N13,Female,Gen Z,Student,Middle Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
91,2024-12-20,2024,12,N13,Female,Gen Z,Student,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Less,Less,Same,Less,More
92,2024-12-20,2024,12,N13,Male,Gen X,Business owner,Middle Income,Same,Same,Same,Same,Less,Same,Same,Less,Less,Less,Less,Less,Same
93,2024-12-20,2024,12,N13,Male,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
94,2024-12-20,2024,12,N14,Female,Gen X,Salaried employee,Middle Income,Same,Same,Less,Same,Less,Not sure,Same,Same,Same,Less,Same,Same,Same
95,2024-12-20,2024,12,N14,Male,Gen Z,Salaried employee,Low Income,Less,Less,Less,Less,Not sure,Not sure,Not sure,Not sure,Less,Less,Not sure,Less,Less
96,2024-12-20,2024,12,N14,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Less,Less,Less,Not sure,Less,Less,Not sure,Same,Same
97,2024-12-20,2024,12,N14,Male,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Less,Less,Not sure,Less,Less,Less,Same,Same
98,2024-12-20,2024,12,N14,Female,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Less,Same,Same,Same,Same,Same,Same,Same
99,2024-12-20,2024,12,N14,Male,Baby Boomers,Self employed/Contractor,High Income,Same,Same,Same,Same,More,Not sure,Same,Same,Same,Less,Not sure,Same,More
100,2024-12-20,2024,12,N14,Female,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Not sure,Same,Same,Less,Less,Same,Same,Same
101,2024-12-20,2024,12,N14,Male,Gen X,Business owner,Low Income,Same,Same,Same,Less,Less,Not sure,Not sure,Not sure,Not sure,Less,Not sure,Same,Same
102,2024-12-20,2024,12,N14,Female,Baby Boomers,Unemployed,Middle Income,Same,Same,Same,More,Same,Not sure,Same,Same,Less,Less,Not sure,Same,Same
103,2024-12-20,2024,12,N14,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Less,Less,Less,Not sure,Same,Same,Same,Less,Same,Same,Same
104,2024-12-20,2024,12,N14,Female,Gen X,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,More
105,2024-12-20,2024,12,N14,Female,Gen Z,Self employed/Contractor,Low Income,Same,Same,Less,Same,Less,Not sure,Same,Same,Less,Less,Less,Less,Less
106,2024-12-20,2024,12,N14,Male,Gen Z,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Less,Less,Less,Not sure,Less,Less,Less,Less,Same
107,2024-12-20,2024,12,N14,Male,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Not sure,Less,Same,Same,Not sure,Same,Same
108,2024-12-20,2024,12,N14,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Less,Less,Same,Same,Same
109,2024-12-20,2024,12,N16,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Less,Same,Same,Same,Same,Same,Same,More
110,2024-12-20,2024,12,N16,Female,Gen Z,Salaried employee,Low Income,Same,Same,Not sure,Same,Same,Less,Same,Same,Same,Not sure,Same,Same,More
111,2024-12-20,2024,12,N16,Male,Gen Z,Salaried employee,Low Income,Same,Same,Not sure,Same,Not sure,Less,Less,Less,Not sure,Not sure,Less,Same,More
112,2024-12-20,2024,12,N16,Female,Gen X,Salaried employee,Middle Income,More,More,Less,Less,More,Not sure,More,More,Less,Less,More,More,More
113,2024-12-20,2024,12,N16,Male,Millennials,Salaried employee,Low Income,Same,Same,Not sure,Same,Less,Less,Less,Less,Less,Not sure,Not sure,Same,More
114,2024-12-20,2024,12,N16,Female,Millennials,Salaried employee,Middle Income,More,More,More,More,Less,Not sure,Less,Less,Less,Less,More,More,More
115,2024-12-20,2024,12,N16,Male,Gen X,Salaried employee,Middle Income,More,More,Less,More,More,Not sure,Not sure,Not sure,Not sure,Not sure,More,More,More
116,2024-12-20,2024,12,N16,Female,Gen X,Unemployed,Low Income,Same,Same,Less,Same,More,Not sure,Less,Less,Not sure,Not sure,Less,Same,Same
117,2024-12-20,2024,12,N16,Female,Gen Z,Unemployed,Middle Income,Same,More,More,Same,Not sure,Not sure,Less,Less,Less,Less,Less,Less,More
118,2024-12-20,2024,12,N16,Male,Gen Z,Student,Middle Income,Less,Less,Not sure,Less,Not sure,Not sure,Less,Less,Less,Less,Less,Less,More
119,2024-12-20,2024,12,N16,Male,Millennials,Business owner,Middle Income,Same,More,Same,Same,Less,Not sure,Same,Less,Less,Not sure,Not sure,Same,More
120,2024-12-20,2024,12,N16,Female,Gen X,Business owner,Middle Income,Same,Same,Same,Same,Same,Less,Less,Less,Same,Same,Less,Same,Same
121,2024-12-20,2024,12,N16,Male,Millennials,Self employed/Contractor,Middle Income,More,More,Less,Less,Less,Less,Not sure,Not sure,Not sure,Not sure,Less,More,More
122,2024-12-20,2024,12,N16,Male,Baby Boomers,Unemployed,Low Income,Same,Same,Not sure,Same,Same,Less,Same,Same,Not sure,Not sure,Less,Same,More
123,2024-12-20,2024,12,N16,Male,Gen X,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Not sure,Not sure,Not sure,Not sure,Same,More
124,2024-12-20,2024,12,N18,Male,Gen X,Salaried employee,Middle Income,Same,Less,Same,Same,Less,Less,Less,Less,Less,Less,Same,Less,Same
125,2024-12-20,2024,12,N18,Male,Gen Z,Salaried employee,Low Income,Same,Same,Less,Same,Less,Less,Less,Not sure,Less,Less,Less,Less,Less
126,2024-12-20,2024,12,N18,Female,Gen Z,Salaried employee,Low Income,Less,Less,Not sure,Same,Not sure,Not sure,Same,Same,Not sure,Same,Not sure,Not sure,Same
127,2024-12-20,2024,12,N18,Male,Millennials,Salaried employee,Middle Income,More,More,More,More,Same,Not sure,Less,Less,Less,Less,Less,Same,Same
128,2024-12-20,2024,12,N18,Male,Millennials,Salaried employee,Middle Income,More,More,More,More,Less,Less,Same,Same,Less,Less,Same,Less,Less
129,2024-12-20,2024,12,N18,Female,Gen Z,Salaried employee,Low Income,Same,Same,Less,Less,More,Not sure,More,More,Same,Same,More,Less,Less
130,2024-12-20,2024,12,N18,Male,Gen X,Self employed/Contractor,Middle Income,Same,Same,Less,Same,Same,Less,Same,Not sure,Same,Not sure,Not sure,Same,Less
131,2024-12-20,2024,12,N18,Female,Gen Z,Student,Low Income,Less,More,More,Same,Same,Not sure,Less,Less,Less,Less,Not sure,Less,Less
132,2024-12-20,2024,12,N18,Female,Gen Z,Unemployed,Low Income,Less,More,Less,More,Not sure,Not sure,Less,Not sure,Not sure,Not sure,Not sure,Same,More
133,2024-12-20,2024,12,N18,Male,Gen Z,Unemployed,Low Income,Less,Less,Less,Less,Less,Not sure,Less,Not sure,Not sure,Not sure,Less,Not sure,Less
134,2024-12-20,2024,12,N18,Male,Millennials,Business owner,High Income,Same,Same,Same,More,Same,Not sure,Same,Same,More,Less,Same,Less,Same
135,2024-12-20,2024,12,N18,Male,Gen X,Self employed/Contractor,Middle Income,More,More,More,More,Same,Not sure,Same,Same,Less,Not sure,Same,Same,Same
136,2024-12-20,2024,12,N18,Male,Gen X,Self employed/Contractor,High Income,Same,Same,Same,More,Same,Not sure,Same,Same,Less,Less,Less,Same,Same
137,2024-12-20,2024,12,N18,Female,Gen Z,Unemployed,Middle Income,Not sure,Same,More,Less,Not sure,Not sure,More,Not sure,Not sure,Not sure,Not sure,Less,Less
138,2024-12-20,2024,12,N2,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,More,Same,Same,Same,Same,More,More,Same,More,Same
139,2024-12-20,2024,12,N2,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,Same,More,Same,Same,More,Same,Same,More,More
140,2024-12-20,2024,12,N2,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,More,More,Same,Same,Same,More,Same,Same,More,More
141,2024-12-20,2024,12,N2,Female,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,More,More,More,More,More,Same,Same,Same,More
142,2024-12-20,2024,12,N2,Male,Gen Z,Salaried employee,Middle Income,Same,More,Same,More,More,Same,Same,More,Same,More,Same,Same,More
143,2024-12-20,2024,12,N2,Male,Gen Z,Salaried employee,Middle Income,Same,Same,More,Same,Same,Same,More,Same,Same,More,Same,More,Same
144,2024-12-20,2024,12,N2,Female,Gen Z,Salaried employee,Middle Income,Same,More,Same,Same,More,Same,More,More,Same,More,More,More,Same
145,2024-12-20,2024,12,N2,Female,Gen Z,Salaried employee,Middle Income,Same,More,More,Same,More,More,Same,More,Same,Same,Same,Same,More
146,2024-12-20,2024,12,N2,Female,Gen Z,Salaried employee,Middle Income,Same,More,Same,More,Same,More,More,Same,Same,More,More,More,Same
147,2024-12-20,2024,12,N2,Male,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,More,Same,More,More,More
148,2024-12-20,2024,12,N2,Male,Gen Z,Self employed/Contractor,Middle Income,More,More,Same,Same,Same,Same,Same,Less,Same,More,Same,Same,Same
149,2024-12-20,2024,12,N2,Male,Millennials,Business owner,Middle Income,Same,Same,Less,Same,Less,Not sure,Less,Less,Same,Same,Not sure,Same,Same
150,2024-12-20,2024,12,N2,Male,Millennials,Business owner,Middle Income,Same,More,Same,Same,Same,Same,More,Same,Same,More,Same,Same,More
151,2024-12-20,2024,12,N2,Male,Gen Z,Business owner,Middle Income,Same,More,Same,Same,More,Same,Less,More,Same,Same,Same,More,Same
152,2024-12-20,2024,12,N2,Female,Millennials,Business owner,Middle Income,Same,More,Same,More,More,Same,Same,More,Same,Same,More,Same,Same
153,2024-12-20,2024,12,N2,Male,Millennials,Business owner,Middle Income,Same,More,Same,Same,Same,Same,Same,More,Same,More,Same,Same,More
154,2024-12-20,2024,12,N2,Female,Gen Z,Self employed/Contractor,High Income,Same,More,Same,Same,Same,More,Same,More,Same,Same,Same,More,More
155,2024-12-20,2024,12,N20,Female,Gen Z,Salaried employee,Low Income,Less,Less,Less,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less
156,2024-12-20,2024,12,N20,Female,Millennials,Salaried employee,Low Income,Less,Same,Same,More,Same,Less,Less,Less,Less,Less,Less,Less,Less
157,2024-12-20,2024,12,N20,Female,Gen X,Salaried employee,Middle Income,Same,Same,More,Same,More,Same,Same,Same,Same,Same,Same,Same,Same
158,2024-12-20,2024,12,N20,Female,Millennials,Salaried employee,Low Income,Less,Same,Same,Same,Same,Less,Less,Less,Same,Same,Same,Same,Same
159,2024-12-20,2024,12,N20,Male,Gen X,Salaried employee,Middle Income,Less,Less,Same,Same,Same,Less,Less,Less,Same,Same,Same,Same,Same
160,2024-12-20,2024,12,N20,Male,Millennials,Salaried employee,Low Income,Less,Less,Less,Less,Less,Not sure,Less,Less,Less,Not sure,Less,Less,Less
161,2024-12-20,2024,12,N20,Male,Gen Z,Salaried employee,Low Income,Same,Same,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
162,2024-12-20,2024,12,N20,Male,Baby Boomers,Business owner,Middle Income,Same,Same,Same,Less,Less,Same,Same,Same,Same,Less,Less,Less,Less
163,2024-12-20,2024,12,N20,Female,Gen Z,Self employed/Contractor,Low Income,Same,Same,Less,Less,Less,Same,Same,Same,Same,Same,Same,Same,Same
164,2024-12-20,2024,12,N20,Female,Millennials,Unemployed,Low Income,Same,Same,Less,Same,More,Less,Same,Same,Same,Same,Same,Same,Less
165,2024-12-20,2024,12,N20,Male,Baby Boomers,Unemployed,High Income,Less,Same,Same,Same,Less,More,Same,Same,Same,Less,Less,Less,Less
166,2024-12-20,2024,12,N20,Male,Gen X,Self employed/Contractor,Middle Income,Less,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less
167,2024-12-20,2024,12,N20,Female,Gen Z,Unemployed,Low Income,Less,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Less,Less
168,2024-12-20,2024,12,N20,Female,Gen X,Unemployed,Middle Income,Less,Less,Less,Same,Same,Same,Same,Same,Less,More,Same,Same,Same
169,2024-12-20,2024,12,N20,Male,Millennials,Business owner,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
170,2024-12-20,2024,12,N21,Female,Millennials,Salaried employee,Middle Income,More,Same,More,More,Less,Same,More,Same,Same,Same,Same,More,Same
171,2024-12-20,2024,12,N21,Male,Millennials,Salaried employee,Middle Income,Same,Less,Less,More,Less,Same,More,Same,Less,Less,More,More,More
172,2024-12-20,2024,12,N21,Female,Gen Z,Salaried employee,Middle Income,More,Same,More,More,Less,Same,Less,Same,Less,Less,More,More,Same
173,2024-12-20,2024,12,N21,Male,Gen Z,Salaried employee,Middle Income,Same,Less,Less,More,Less,More,Less,Less,Less,Same,Less,More,Same
174,2024-12-20,2024,12,N21,Male,Gen Z,Salaried employee,Middle Income,More,Less,Same,Less,Less,Same,Same,Less,Same,Less,Same,More,More
175,2024-12-20,2024,12,N21,Male,Baby Boomers,Unemployed,High Income,More,Same,Less,Same,Less,Same,Less,Less,More,Less,Same,Same,Same
176,2024-12-20,2024,12,N21,Male,Millennials,Self employed/Contractor,High Income,More,Same,Same,More,Less,Less,More,Same,Less,Less,Same,More,More
177,2024-12-20,2024,12,N21,Female,Millennials,Business owner,Middle Income,More,Same,More,Less,Same,Less,Same,Same,Same,More,Same,Less,More
178,2024-12-20,2024,12,N21,Female,Millennials,Business owner,High Income,More,Less,More,Same,Less,Same,Same,Less,Less,Less,Same,More,More
179,2024-12-20,2024,12,N21,Female,Baby Boomers,Business owner,High Income,More,Same,More,Same,Same,Same,More,Same,Same,Less,Same,Same,Same
180,2024-12-20,2024,12,N21,Female,Gen X,Self employed/Contractor,High Income,More,Same,Same,Less,Same,Same,Same,Less,More,Same,Same,Same,More
181,2024-12-20,2024,12,N21,Male,Gen X,Self employed/Contractor,High Income,More,Same,Same,More,Same,Same,Same,Less,Same,Less,Less,More,More
182,2024-12-20,2024,12,N21,Female,Gen Z,Self employed/Contractor,Middle Income,Same,Less,Same,More,Same,Same,Less,Less,Less,Same,Less,More,More
183,2024-12-20,2024,12,N21,Female,Gen X,Self employed/Contractor,High Income,Same,Less,Same,Same,Less,Same,Same,Same,Less,Less,Less,More,Same
184,2024-12-20,2024,12,N21,Male,Gen X,Self employed/Contractor,High Income,More,Same,More,Same,Same,Same,Same,Same,Less,Same,Same,More,More
185,2024-12-20,2024,12,N22,Male,Millennials,Salaried employee,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
