<<<<<<< HEAD
,Gender,Age-group,Income Level,Occupation
569,1,1,0,0
570,0,1,1,0
571,1,0,1,4
572,0,1,1,0
573,0,1,1,0
574,1,1,1,0
575,1,1,1,2
576,1,1,1,3
577,1,1,1,3
578,0,0,1,2
579,1,2,1,1
580,0,1,1,0
581,0,2,1,1
582,0,2,1,1
583,1,2,1,1
584,1,1,1,0
585,0,1,1,0
586,0,1,1,2
587,1,0,1,3
588,0,2,0,0
589,1,1,1,0
590,1,1,1,3
591,0,2,0,0
592,1,0,1,4
593,1,1,0,0
594,0,1,0,2
595,1,1,1,3
596,1,1,0,0
597,0,1,0,3
598,0,0,1,4
599,1,2,0,0
600,0,1,0,2
601,1,2,0,4
602,0,1,1,0
603,1,0,1,4
604,1,1,1,2
605,1,1,1,0
606,1,1,1,4
607,0,1,1,2
608,0,2,0,0
609,0,2,0,4
610,0,1,1,0
611,1,2,0,4
612,0,2,0,4
613,0,0,1,2
614,0,1,0,2
615,1,1,0,4
616,0,2,0,1
617,0,2,0,0
618,1,1,1,2
619,0,1,1,0
620,1,1,2,0
621,1,2,1,0
622,1,1,1,2
623,1,1,2,2
624,0,1,1,2
625,0,2,1,2
626,0,2,1,3
627,1,1,1,2
628,1,2,1,0
629,1,2,1,0
630,0,1,1,2
631,0,1,1,2
632,0,1,1,2
633,1,1,1,2
634,0,1,1,2
635,0,1,1,2
636,1,1,0,2
637,1,2,0,0
638,0,1,1,0
639,0,1,1,2
640,0,2,0,0
641,0,2,0,4
642,1,1,1,2
643,0,1,0,4
644,0,1,0,3
645,1,2,1,3
646,1,1,1,0
647,1,2,0,1
648,0,1,1,0
649,1,1,0,3
650,1,0,0,0
651,0,1,2,2
652,1,1,2,3
653,0,2,2,0
654,0,1,2,2
655,1,1,1,0
656,0,1,2,3
657,0,1,1,0
658,1,2,2,3
659,1,1,2,3
660,0,1,1,0
661,1,1,2,2
662,0,2,2,0
663,1,2,2,0
664,1,0,2,4
665,0,1,1,0
666,0,1,1,3
667,1,2,0,0
668,0,2,0,0
669,0,1,1,3
670,0,1,1,0
671,0,1,0,2
672,1,1,1,0
673,1,1,1,3
674,1,1,1,3
675,1,1,1,0
676,1,2,1,3
677,0,1,1,0
678,1,0,2,2
679,0,1,1,2
680,1,2,1,3
681,0,2,1,3
682,1,1,1,3
683,0,1,1,0
684,1,1,1,2
685,0,1,1,2
686,1,2,1,0
687,0,1,1,0
688,1,2,1,3
689,0,1,1,2
690,1,1,1,0
691,1,1,1,0
692,1,0,1,3
693,0,1,0,4
694,1,1,1,3
695,1,1,1,0
696,0,2,1,0
697,1,1,0,4
698,0,2,0,0
699,1,1,1,3
700,0,2,0,4
701,0,0,0,4
702,1,1,2,3
703,1,1,1,2
704,0,2,0,0
705,0,1,1,0
706,1,1,1,4
707,0,1,1,2
708,1,1,2,0
709,1,1,2,2
710,1,1,1,2
711,0,1,2,3
712,1,1,1,2
713,0,0,1,4
714,1,1,2,2
715,0,1,2,0
716,1,2,1,4
717,0,1,1,0
718,0,1,1,0
719,0,1,1,0
720,0,2,2,2
721,0,2,1,2
722,0,1,2,0
723,1,1,1,0
724,1,1,1,2
725,0,1,0,0
726,1,1,1,0
727,0,2,0,0
728,1,2,1,1
729,0,2,2,0
730,1,2,2,1
731,1,1,2,0
732,0,0,2,2
733,1,1,1,2
734,0,1,1,0
735,1,1,1,2
736,1,1,1,0
737,0,2,1,0
738,1,2,0,0
739,0,2,1,0
740,0,2,1,0
741,1,1,1,0
742,1,1,1,0
743,1,0,1,3
744,0,1,0,0
745,0,1,1,0
746,0,2,0,0
747,1,1,1,2
748,1,1,1,0
749,0,1,1,0
750,0,2,0,4
751,1,1,0,2
752,0,1,0,0
753,1,2,1,0
754,0,2,0,0
755,1,1,1,2
756,1,1,1,0
757,1,1,0,0
758,1,2,0,0
759,0,2,0,0
760,0,2,0,0
761,0,1,1,3
762,0,1,0,0
763,0,1,0,0
764,0,1,1,2
765,1,1,0,4
766,1,1,2,0
767,1,1,2,4
768,0,1,1,2
769,0,1,1,0
770,1,1,0,3
771,0,1,2,3
772,0,1,1,3
773,1,1,1,3
774,1,1,1,0
775,1,2,0,1
776,0,2,0,0
777,0,1,1,0
778,0,1,1,2
779,0,1,2,4
780,0,1,2,3
781,0,1,2,4
782,1,2,0,1
783,1,1,1,0
784,1,2,1,4
785,1,1,1,2
786,1,1,1,3
787,1,1,2,3
788,1,1,2,4
789,0,2,1,1
790,0,1,1,0
791,0,1,1,2
792,1,1,1,3
793,1,1,0,0
794,0,1,0,0
795,0,1,0,4
796,0,1,1,0
797,0,1,1,0
798,0,1,1,0
799,1,1,1,0
800,0,1,1,0
801,1,1,1,0
802,1,2,1,0
803,1,2,1,1
804,0,1,1,0
805,0,1,1,0
807,1,2,1,0
808,0,1,1,0
809,0,1,1,0
810,1,2,1,0
811,1,2,2,3
812,1,1,1,4
813,1,1,0,4
814,0,1,1,4
815,0,1,0,2
816,0,1,1,2
817,1,1,0,2
818,1,1,2,1
819,1,1,1,3
820,1,1,0,4
821,1,1,0,2
822,0,1,1,2
823,1,1,0,2
824,0,1,0,4
825,1,1,0,4
826,0,2,1,0
827,0,1,1,0
828,0,2,1,0
830,0,2,0,1
832,1,1,0,0
833,1,1,1,2
834,1,0,1,4
835,1,0,1,0
836,1,1,0,3
837,1,2,0,0
838,1,1,0,0
839,0,1,0,3
840,0,1,0,3
841,1,1,1,2
842,0,0,0,3
843,0,1,0,3
844,0,2,0,1
845,0,1,0,3
846,1,1,0,0
847,0,2,0,1
848,1,2,0,3
849,1,1,1,2
850,1,0,0,3
851,1,1,1,3
852,0,1,1,5
853,1,1,1,3
854,1,1,1,3
855,0,1,1,3
856,1,1,1,0
857,0,1,1,0
858,0,2,1,1
859,0,1,1,0
860,1,2,1,4
861,0,1,2,0
862,0,2,1,0
863,1,1,1,0
864,1,0,2,2
865,1,1,1,3
866,0,1,1,0
867,0,1,1,0
868,1,1,0,0
869,0,2,0,4
870,1,1,1,2
871,1,1,1,3
872,0,2,0,0
873,1,1,0,2
874,1,2,1,0
875,1,1,0,4
876,0,0,1,3
877,0,1,1,2
878,1,1,2,3
879,0,2,1,0
880,1,0,2,2
881,1,1,0,0
882,0,2,0,0
884,0,1,0,0
885,1,1,1,3
886,0,1,1,0
889,1,1,1,3
890,0,1,1,3
893,1,2,0,0
896,0,1,1,2
897,1,2,1,1
898,0,1,1,3
899,1,1,1,3
900,0,1,1,0
901,1,0,1,0
902,1,1,1,0
903,0,2,1,0
904,0,2,1,0
905,0,1,1,0
906,1,1,1,0
907,0,1,1,0
908,1,2,1,0
909,0,1,1,0
910,1,2,1,0
911,0,2,0,1
912,0,1,0,0
913,1,1,1,3
914,0,1,0,0
915,1,1,1,0
916,0,1,1,0
917,1,0,1,0
918,0,1,0,0
919,1,1,1,0
920,0,1,1,0
921,1,2,0,0
922,1,2,0,1
923,0,2,0,0
924,0,2,0,1
925,1,1,1,3
926,1,1,1,3
927,1,1,0,0
928,0,1,0,5
929,1,0,0,0
930,1,0,0,0
931,1,1,0,0
932,0,1,0,0
933,1,1,0,0
934,0,2,0,1
935,1,1,0,0
936,0,2,0,1
937,0,1,0,3
938,1,1,0,0
939,0,2,0,4
940,0,1,0,1
941,1,1,1,2
942,1,1,1,3
943,1,1,1,0
944,1,2,1,3
945,0,1,1,3
946,1,1,1,3
947,0,1,1,0
948,0,2,1,0
949,0,1,1,2
950,1,1,1,2
951,0,1,1,3
952,0,1,1,0
953,1,1,1,0
954,1,1,1,2
955,0,2,1,2
956,0,1,1,3
957,1,0,2,2
958,1,1,1,0
959,0,1,1,0
960,0,1,1,0
961,0,1,0,0
962,0,1,0,3
963,0,2,0,0
964,0,1,1,0
965,0,1,1,0
966,0,1,0,0
967,1,1,1,3
968,0,1,1,0
969,1,1,2,3
970,1,1,1,0
971,1,1,2,0
972,1,1,1,0
973,1,1,1,0
974,1,1,2,0
975,1,2,1,2
976,0,1,0,4
977,0,2,2,4
978,0,2,0,1
979,0,2,1,3
980,0,2,0,1
981,0,2,1,4
982,1,2,0,1
983,1,2,0,1
984,0,2,0,1
985,0,2,1,4
986,0,2,2,1
987,1,2,0,4
988,1,2,0,1
989,0,2,0,4
990,1,2,0,4
991,1,2,0,3
992,1,2,0,1
993,1,2,0,1
994,1,2,0,1
995,1,2,0,0
996,0,1,1,4
997,1,1,0,0
998,0,1,0,1
999,1,1,0,2
1000,0,1,0,2
1001,1,1,0,2
1002,1,2,1,0
1003,0,2,0,0
1006,1,1,0,3
1007,1,1,0,3
1008,1,2,0,4
1011,0,1,0,2
1013,0,1,0,0
1014,0,1,0,0
1016,0,2,1,2
1017,1,1,1,3
1018,1,1,1,0
1019,1,1,1,3
1020,0,1,1,2
1021,1,1,1,2
1022,0,2,1,0
1023,0,1,1,0
1024,0,1,1,0
1025,1,1,1,0
1026,0,1,1,2
1027,0,1,2,2
1028,1,2,1,2
1029,1,1,1,3
1030,1,1,1,2
1031,0,1,2,0
1032,0,0,2,4
1033,0,1,1,0
1034,0,1,1,0
1035,0,1,1,2
1036,1,1,1,2
1037,1,2,1,0
1038,0,1,1,0
1039,0,1,1,2
1040,0,2,0,1
1041,1,1,0,3
1042,1,0,1,2
1043,1,1,1,0
1044,0,0,2,2
1045,1,1,1,0
1046,0,1,1,0
1047,0,2,0,1
1048,1,2,0,0
1049,0,1,2,3
1050,1,1,1,0
1051,1,1,2,3
1052,0,0,1,2
1053,0,1,1,0
1054,0,2,1,3
1055,1,2,0,0
1056,1,1,1,2
1057,0,0,1,2
1058,0,1,1,0
1059,0,1,1,0
1060,0,1,1,0
1061,1,0,1,4
1062,1,2,1,1
1063,0,2,1,1
1064,0,2,1,1
1065,1,1,1,3
1066,1,1,1,3
1067,0,1,1,0
1068,0,1,1,0
1069,0,0,1,0
1070,1,2,1,0
1071,0,1,1,3
1072,0,1,0,0
1073,1,1,1,0
1074,0,1,1,3
1075,1,1,1,3
1076,0,1,1,0
1077,1,1,0,0
1078,1,1,1,2
1079,0,1,1,3
1080,0,1,0,2
1081,1,0,1,4
1082,0,2,0,0
1083,1,2,0,0
1084,1,2,0,0
1085,1,1,1,2
1086,1,1,1,2
1087,1,2,0,1
1088,0,1,1,4
1089,1,1,1,2
1090,1,1,1,0
1091,0,1,1,0
1092,0,2,1,0
1093,0,1,1,0
1094,1,1,0,4
1095,0,0,0,4
1096,0,2,0,0
1097,0,2,1,0
1098,1,2,0,0
1099,0,2,0,0
1100,0,1,2,2
1101,0,1,1,0
1102,0,1,0,0
1103,0,1,2,3
1104,0,2,2,1
1105,1,1,1,0
1106,1,1,1,0
1107,0,0,2,3
1108,1,2,2,1
1109,0,2,2,1
1110,1,0,1,4
1111,1,1,1,0
1112,1,1,1,0
1113,0,1,2,0
1114,1,2,1,0
1115,1,1,1,2
1116,1,1,1,3
1117,1,1,1,0
1118,1,1,1,0
1119,0,1,1,0
1120,1,1,2,3
1121,0,1,1,0
1122,1,1,1,2
1123,0,2,0,0
1124,1,1,1,0
1125,1,2,0,1
1126,1,2,0,1
1127,0,1,0,2
1128,0,2,0,0
1129,0,2,0,0
1130,1,1,2,2
1131,0,1,1,2
1132,1,1,2,3
1133,1,1,1,2
1134,1,1,2,2
1135,1,1,2,3
1136,1,2,1,0
1137,1,1,1,2
1138,0,2,1,0
1139,0,2,1,0
1140,0,2,1,0
1141,0,1,1,0
1142,0,1,1,3
1143,0,1,1,2
1144,0,1,1,4
1145,0,1,2,3
1146,1,1,1,0
1147,0,1,1,0
1148,0,0,1,4
1149,1,1,1,2
1150,1,1,2,2
1151,1,2,0,1
1152,0,2,0,1
1153,0,0,0,4
1154,1,2,0,4
1155,0,1,0,3
1156,1,1,1,3
1157,1,1,0,2
1158,0,1,0,0
1159,0,2,0,0
1160,1,1,2,2
1161,0,1,0,2
1162,1,1,1,0
1163,0,1,0,0
1164,1,1,2,3
1165,0,2,0,4
1166,1,1,1,4
1167,0,1,1,3
1168,0,1,1,3
1169,0,2,0,1
1170,1,2,0,1
1171,1,0,1,4
1172,0,1,2,3
1173,1,1,1,0
1174,0,1,2,0
1175,1,1,0,0
1176,0,1,0,0
1177,1,1,0,2
1178,0,2,0,2
1179,0,1,1,3
1180,1,1,0,2
1181,0,1,0,0
1182,1,1,1,0
1183,1,1,1,0
1184,0,2,1,0
1185,1,1,2,3
1186,0,1,1,3
1187,1,1,2,3
1188,0,1,1,2
1189,1,1,1,0
1190,0,1,1,0
1191,0,2,1,2
1192,1,1,1,0
1193,0,2,1,2
1194,1,1,1,3
1195,0,1,1,2
1196,0,1,1,2
1197,0,1,1,2
1198,1,1,1,0
1199,1,2,1,2
1200,0,0,1,0
1201,1,1,1,3
1202,0,1,1,2
1203,1,1,0,2
1204,1,1,1,3
1205,1,1,1,3
1206,0,2,0,0
1207,0,1,0,0
1208,1,1,1,0
1209,1,1,1,0
1210,1,1,0,4
1211,0,1,0,4
1212,1,2,1,1
1213,0,2,0,0
1214,1,2,0,0
1215,0,1,2,4
1216,0,2,1,0
1217,0,2,1,0
1218,1,1,1,3
1219,0,1,1,3
1220,0,1,1,2
1221,0,2,1,0
1222,1,1,1,4
1224,1,1,1,2
1226,1,1,2,0
1227,1,1,1,0
1228,1,2,0,1
1229,0,2,0,1
1230,1,1,1,2
1231,0,2,0,0
1232,1,1,0,0
1233,0,2,0,0
1234,0,2,1,3
1235,0,1,1,0
1236,0,1,1,0
1237,1,2,2,0
1238,1,2,2,1
1239,1,1,1,2
1240,1,2,0,0
1241,1,1,1,0
1242,0,2,0,1
1243,1,1,1,2
1244,1,1,1,3
1245,0,2,1,0
1246,1,1,1,0
1247,1,0,1,3
1248,0,1,1,0
1249,0,1,1,0
1250,0,2,0,0
1251,0,2,0,0
1252,1,2,0,0
1253,1,1,1,0
1254,0,1,0,0
1255,1,1,0,3
1256,1,1,0,4
1257,1,1,1,0
1258,1,1,1,2
1259,0,1,0,2
1260,0,1,1,0
1261,0,2,2,1
1262,0,1,1,0
1263,1,1,1,2
1264,0,1,2,2
1265,0,1,1,0
1266,0,1,1,3
1267,1,1,2,2
1268,0,0,2,2
1269,1,1,1,3
1270,1,1,0,4
1271,0,1,0,1
1272,0,2,1,1
1273,0,1,2,2
1274,1,1,0,4
1275,1,2,1,1
1276,1,2,0,0
1277,0,2,1,0
1278,0,1,1,0
1279,1,1,1,0
1280,0,1,1,2
1281,1,1,1,2
1282,0,2,1,0
1283,0,2,1,0
1284,1,1,1,0
1285,0,1,0,0
1286,0,1,1,0
1287,1,1,1,0
1288,1,2,1,0
1289,1,1,0,0
1290,0,2,0,0
1291,1,1,1,0
1292,1,1,1,0
1293,0,1,0,4
1294,1,1,0,0
1295,0,1,0,2
1296,1,1,0,4
1297,0,1,0,4
1298,1,1,0,2
1299,0,1,0,4
1300,1,1,0,4
1301,0,1,0,4
1302,0,1,0,2
1303,1,1,0,2
1304,1,1,0,4
1305,0,1,0,3
1306,0,1,0,2
1307,0,1,0,2
1308,1,0,1,4
1309,0,0,1,0
1310,1,0,1,2
1311,0,0,1,0
1312,0,0,1,2
1313,1,0,1,0
1314,1,0,1,0
1315,1,0,1,0
1316,0,0,1,2
1317,0,0,1,0
1318,1,1,0,3
1319,0,1,0,3
1320,0,1,0,3
1321,1,1,0,0
1322,1,1,0,0
1323,1,2,0,0
1324,0,1,0,0
1325,0,1,0,1
1326,0,0,0,4
1327,0,2,0,1
1328,1,2,0,1
1329,1,2,0,1
1330,1,2,0,0
1331,0,1,2,0
1333,0,1,2,0
1334,1,1,2,0
1335,1,1,1,3
1336,1,1,1,3
1337,0,1,1,3
1338,1,1,1,0
1339,1,1,1,0
1340,0,0,1,5
1341,1,0,1,2
1342,0,2,0,4
1343,0,2,0,1
1344,0,1,1,3
1345,1,2,0,0
1346,0,1,1,3
1347,1,1,1,0
1348,0,2,0,4
1349,1,1,1,2
1350,1,0,1,2
1351,0,1,1,3
1352,1,1,0,0
1353,1,1,1,3
1354,0,1,1,0
1355,0,1,0,0
1356,1,1,0,0
1357,1,2,1,3
1358,1,0,0,4
1359,0,2,1,0
1360,0,2,0,0
1361,1,1,0,3
1362,1,1,1,3
1364,0,1,1,3
1365,1,0,2,3
1366,1,1,0,0
1367,0,2,0,0
1370,0,1,0,0
1371,0,1,0,3
1373,1,2,0,3
1377,1,1,1,0
1378,0,1,1,0
1379,0,1,1,0
1380,0,1,1,3
1381,0,1,1,2
1382,1,0,1,3
1383,1,1,1,0
1384,1,2,1,0
1385,1,1,1,0
1386,0,1,1,0
1387,1,1,1,3
1388,0,2,0,0
1389,1,2,1,0
1390,0,2,0,0
1391,1,1,0,0
1392,0,1,1,0
1393,1,1,0,0
1394,0,0,1,0
1395,0,1,0,0
1396,0,1,1,0
