,Gender,Age-group,Occupation,Income Level
3374,0,2,0,0
770,1,1,3,0
4610,1,1,0,1
4880,0,1,0,1
4824,0,1,4,1
10031,1,2,3,1
3439,0,1,2,1
2420,1,2,2,0
4253,1,1,0,1
3081,1,1,2,1
6653,0,1,0,1
9696,0,1,0,1
8940,0,1,0,1
5764,0,1,0,0
6541,1,1,1,1
9245,0,1,4,1
4921,0,1,0,1
617,0,2,0,0
3174,0,1,2,1
9402,1,1,0,1
7123,1,2,1,1
2606,1,1,5,0
8597,0,1,2,1
4545,1,1,2,0
1076,0,1,0,1
7874,1,0,0,1
1602,1,2,2,0
9512,0,1,2,1
3881,1,1,0,0
189,1,1,0,1
2169,0,2,0,0
1745,0,1,3,1
1423,0,1,3,2
8442,1,1,0,1
7757,0,1,2,0
8980,0,1,4,1
634,0,1,2,1
6632,1,1,0,0
10376,1,1,0,1
1645,1,0,4,2
6389,0,1,0,1
1660,1,1,1,1
8998,0,0,3,1
454,0,1,2,0
10136,0,2,1,1
2137,1,0,4,1
4595,0,1,0,1
5768,1,1,0,0
5476,1,1,3,1
9388,0,2,0,1
5243,1,1,2,2
7302,1,0,2,1
3235,1,1,0,0
7337,0,2,1,0
8786,1,1,1,1
1969,1,2,0,0
8782,1,1,0,1
6402,1,0,2,1
5755,0,2,1,1
10086,1,1,0,1
6791,0,1,0,0
2108,0,1,0,0
9288,1,1,0,1
9713,1,1,2,1
2422,0,1,0,1
2279,1,1,0,1
4688,1,1,2,1
1158,0,1,0,0
3776,1,1,2,0
7051,1,2,4,1
4113,0,1,0,1
5275,0,1,1,0
1357,1,2,3,1
1648,0,1,4,2
5893,1,1,0,0
7970,1,1,0,1
4628,0,1,1,1
5422,1,1,3,1
4911,0,1,0,0
5342,0,2,3,0
7905,0,1,2,0
9849,1,1,0,1
5997,1,0,0,1
4056,1,1,0,1
1604,1,2,4,1
5000,1,1,1,0
8794,0,1,0,1
4168,0,0,0,1
4158,0,1,0,0
5796,1,1,2,1
8836,0,2,0,1
1396,0,1,0,1
54,1,2,0,2
4109,1,2,0,0
764,0,1,2,1
5172,0,1,3,0
4961,1,1,2,1
5865,0,1,3,0
8512,0,0,2,1
4982,0,2,3,0
3813,0,1,3,1
5535,1,1,2,0
6852,0,1,1,0
2305,0,1,3,0
7275,0,1,2,1
2815,0,0,2,1
5658,0,1,0,1
9961,1,0,0,1
10240,0,1,0,1
2750,1,1,0,0
5771,0,1,0,1
9977,0,2,0,1
4236,1,0,0,1
10153,1,1,3,1
5298,0,1,0,1
680,1,2,3,1
2833,1,1,2,0
7035,0,2,0,0
4059,1,1,0,2
10114,1,1,2,1
2888,1,1,3,2
691,1,1,0,1
10351,1,1,0,1
3666,0,1,2,1
7402,1,2,1,0
2015,0,1,0,1
1891,1,0,3,1
4502,1,1,2,1
3437,1,1,0,1
9917,0,1,3,1
6029,0,1,1,0
5200,1,1,0,0
9743,0,1,0,1
7144,0,1,3,0
9536,0,1,0,1
6663,1,1,3,0
5092,1,1,0,0
427,0,1,0,1
629,1,2,0,1
3085,1,1,0,1
8997,1,0,4,1
1475,1,1,3,0
9617,1,2,4,1
8028,0,1,2,0
4229,1,1,0,1
3739,0,1,0,0
3208,0,1,2,1
1462,0,2,0,0
4411,0,2,0,1
620,1,1,0,2
1306,0,1,2,0
9046,1,1,0,1
6826,0,1,0,1
7863,0,1,0,1
7430,1,1,0,1
256,0,1,0,0
9249,1,1,2,1
2035,0,1,0,0
10132,1,2,1,1
7267,1,1,0,1
208,1,1,3,2
501,1,2,0,0
6516,1,1,4,1
4159,0,1,0,1
471,1,1,0,2
10321,1,1,0,1
9306,1,1,0,1
10371,0,1,0,1
1767,0,2,4,0
5512,0,1,2,0
4334,1,0,0,2
8622,1,1,4,1
6175,1,1,2,2
6222,1,1,0,1
5703,1,2,0,0
881,1,1,0,0
2148,1,0,3,2
973,1,1,0,1
2670,0,1,0,0
1489,1,2,0,1
1314,1,0,0,1
9722,1,1,1,1
4497,1,1,0,1
2811,0,1,4,0
2820,0,0,2,1
4484,0,1,0,1
2356,0,1,0,2
2058,0,0,4,0
9758,0,1,0,1
9180,1,0,4,1
1037,1,2,0,1
3483,0,1,0,1
10145,0,1,3,1
3034,0,1,3,0
3401,0,1,3,1
2186,1,1,0,1
10087,1,1,0,1
2111,0,1,2,1
3138,0,1,3,0
238,0,1,2,1
8368,0,1,2,1
4970,1,1,2,2
10480,0,1,0,1
2676,1,1,2,2
10302,1,1,2,1
8834,0,1,0,1
218,0,1,0,0
3520,1,1,0,1
6310,0,1,2,1
3256,1,1,0,0
7638,0,1,0,0
4037,1,1,0,1
1774,0,1,4,0
4452,1,1,0,0
348,0,1,0,2
5329,0,0,0,1
6718,0,1,0,1
9445,1,1,2,1
4663,0,0,2,2
1260,0,1,0,1
7264,0,1,2,1
5363,1,1,0,0
9503,1,1,3,1
9251,0,1,2,1
4449,1,1,0,1
2165,0,2,0,0
2958,0,1,0,1
4163,1,1,0,1
4099,0,1,0,0
1049,0,1,3,2
8534,0,1,0,1
8389,1,2,1,1
5360,1,1,0,1
1979,0,1,3,0
361,0,1,3,0
2255,1,1,3,1
6355,1,1,2,0
1986,0,1,4,0
7413,1,1,0,0
5154,0,1,0,1
5446,0,1,0,1
580,0,1,0,1
1627,1,1,0,1
3921,0,1,0,1
2229,1,1,3,0
5212,1,1,0,1
2601,1,1,0,1
9317,0,1,4,1
2282,0,1,0,1
1147,0,1,0,1
3469,1,1,0,0
9483,1,1,0,1
5398,0,2,3,0
5901,1,1,0,0
8025,0,1,0,1
840,0,1,3,0
3184,0,1,2,1
2326,0,1,3,0
5928,1,1,0,1
90,0,2,1,1
1358,1,0,4,0
4310,1,1,0,1
1659,1,1,4,0
850,1,0,3,0
4850,1,1,0,1
6836,0,1,0,0
2480,1,1,0,0
4763,1,1,0,0
6553,1,1,2,0
9277,0,1,2,1
1694,1,1,3,1
4347,0,1,0,1
6511,0,1,3,0
9367,1,1,1,1
9084,0,1,1,1
7920,0,1,2,0
9587,1,1,1,1
8591,0,1,2,1
3951,0,1,0,1
4112,1,1,0,1
4288,1,0,0,2
765,1,1,4,0
6073,0,1,1,0
2433,1,1,3,1
2502,1,1,2,0
6497,0,1,0,1
7092,1,0,2,1
2686,1,1,0,1
3511,0,1,0,1
8822,0,1,0,1
4812,1,0,3,1
7134,1,1,0,1
4964,1,1,0,2
9721,1,1,3,1
8229,0,1,3,1
8657,1,0,2,1
7229,1,1,0,0
9679,1,1,0,1
10324,1,1,2,1
1171,1,0,4,1
8197,1,1,0,1
2285,0,1,0,1
2218,0,2,1,0
9020,0,1,2,1
7685,1,2,1,0
6224,1,1,0,1
2884,1,1,0,1
1615,0,2,0,2
181,1,1,3,2
7688,0,2,1,1
2141,0,1,2,1
5681,0,1,2,0
5772,0,1,2,0
7608,0,1,0,2
7463,0,1,2,1
4206,1,2,0,0
4198,0,1,0,1
1883,1,2,0,1
5463,1,1,4,1
3814,1,1,0,1
9631,1,2,1,1
9682,1,0,3,1
8542,1,1,3,1
6153,0,1,3,0
5996,1,1,0,1
853,1,1,3,1
2546,1,1,3,1
7317,0,1,2,1
4181,1,2,0,0
4843,0,2,0,0
3032,0,1,3,1
3866,0,2,1,0
4785,0,2,0,0
6827,1,1,0,1
74,0,0,4,2
3615,0,1,2,1
9511,1,0,3,1
10189,1,1,0,1
365,0,1,0,2
9187,1,0,4,1
4598,0,1,0,1
9184,1,1,0,1
4031,0,0,0,0
10103,1,1,0,1
6350,1,1,0,0
4401,0,2,0,1
8557,1,1,3,1
4437,0,1,0,0
3142,1,1,3,0
488,0,2,2,0
2758,0,1,0,1
9132,1,1,1,1
2737,0,2,0,0
5581,1,0,2,2
890,0,1,3,1
6213,0,1,0,0
7826,0,1,0,1
1551,1,2,1,1
5516,0,1,2,0
9185,1,1,2,1
6433,1,1,0,0
4208,1,1,0,2
9836,1,1,2,1
6046,0,1,0,1
5615,1,1,0,0
4188,1,1,0,1
1107,0,0,3,2
9818,1,1,0,1
4254,0,1,0,1
7233,1,1,0,0
4601,1,1,0,1
10165,1,1,0,1
7829,0,1,0,1
4107,1,1,0,1
7542,1,1,0,0
6319,0,1,0,0
7686,1,2,1,0
82,0,1,0,1
4330,0,1,0,1
8169,1,2,4,1
4971,0,1,0,0
7177,0,1,2,0
4865,1,1,2,1
1133,1,1,2,1
6758,0,1,0,0
10051,0,1,2,1
8223,1,1,4,1
6126,1,1,0,1
5060,0,1,0,1
127,1,1,0,1
2076,1,2,1,0
10412,1,0,2,1
2803,1,1,2,0
2088,1,1,2,1
2812,0,1,4,0
9139,1,2,2,1
4050,0,1,0,1
1253,1,1,0,1
6772,0,1,1,1
4856,0,1,4,0
7072,0,1,0,2
3139,1,1,0,0
2571,0,1,0,1
8487,0,1,0,1
6550,1,1,2,1
10022,1,1,3,1
8717,0,2,1,1
3033,1,2,3,1
3553,0,1,0,1
186,0,1,0,1
1688,0,0,2,1
9798,1,1,2,1
3113,0,1,5,0
10493,0,2,0,1
1418,0,2,1,0
1766,1,2,1,0
4492,0,1,0,1
4666,1,1,2,1
2318,0,0,4,1
96,1,1,0,0
3136,1,1,4,0
9161,0,1,4,1
418,0,2,0,0
4359,0,2,0,0
8523,0,1,3,1
7332,1,1,0,0
7009,1,1,0,0
2516,1,1,0,1
3319,0,0,0,1
2268,1,1,1,1
1059,0,1,0,1
10218,1,1,0,1
1466,0,2,0,0
2496,1,1,4,0
4336,1,1,0,0
8566,0,2,4,1
9585,1,2,0,1
1312,0,0,2,1
7155,1,1,3,1
5979,1,1,2,0
5417,1,1,0,1
7071,0,1,0,1
2031,1,1,3,1
1093,0,1,0,1
1470,0,2,1,0
4837,0,1,0,1
7508,0,1,3,1
6849,1,1,0,0
1547,1,1,0,1
9033,0,1,0,1
2994,0,1,4,0
5620,1,0,5,0
9494,1,1,4,1
5259,1,1,2,1
694,1,1,3,1
6378,1,1,4,1
3124,1,1,2,2
6301,0,2,0,1
8125,1,1,0,1
111,1,2,0,0
983,1,2,1,0
4721,0,1,2,1
4185,1,1,0,2
6098,1,1,2,1
7698,1,1,2,0
5983,1,1,0,0
2749,0,1,0,0
2913,0,2,0,0
6428,0,1,0,1
7746,1,1,0,0
6302,0,1,0,1
3186,1,1,2,1
6832,1,1,0,1
434,0,2,1,0
5170,0,1,3,0
4412,0,1,0,1
7810,1,1,0,0
2000,1,1,3,1
4016,0,1,0,1
2353,0,1,0,0
8911,0,1,0,1
4675,1,1,2,1
7335,1,1,0,2
3229,0,2,2,0
7582,1,2,0,1
4580,0,1,0,1
544,0,1,2,1
1267,1,1,2,2
795,0,1,4,0
738,1,2,0,0
3497,0,0,0,0
5608,0,1,3,0
1911,1,1,0,1
8917,0,1,0,1
9916,0,1,0,1
3091,1,2,1,2
9250,0,2,0,1
2045,0,2,1,1
9589,1,2,2,1
7098,0,1,0,1
7767,1,1,0,0
5672,1,1,2,0
7309,1,1,0,0
3070,1,2,0,0
2531,0,2,3,0
8813,0,1,0,1
3358,1,1,0,1
5021,1,1,0,1
1441,1,1,0,1
1534,1,0,2,2
6315,0,1,0,0
3573,0,1,4,0
1074,0,1,3,1
5301,0,1,2,2
5169,1,1,3,1
7786,0,1,0,1
266,0,1,0,0
7825,1,1,2,1
9086,1,1,0,1
8397,0,1,0,1
6984,1,1,0,1
2143,1,1,2,2
8271,0,1,0,1
519,1,2,0,0
7981,1,1,0,1
9294,1,1,0,1
1387,1,1,3,1
6024,1,1,2,1
9944,0,1,4,1
2302,0,1,3,0
5326,0,1,1,0
383,0,1,0,0
8908,0,1,0,1
3715,0,1,3,0
2060,0,1,4,0
4036,1,1,0,0
4104,0,1,0,0
4304,1,1,0,0
10420,1,0,0,1
8354,0,1,0,1
6505,0,0,0,1
2156,1,1,3,1
1029,1,1,3,1
8629,1,1,1,1
3632,0,1,1,0
1208,1,1,0,1
567,0,1,0,0
760,0,2,0,0
8988,1,1,2,1
3404,0,1,0,0
3986,0,1,0,2
7174,1,1,0,1
9381,0,1,2,1
5590,1,1,4,0
7344,0,1,0,0
8190,0,1,4,1
8104,1,1,2,1
4615,0,1,2,0
6705,1,1,0,1
6716,0,1,1,0
8532,1,1,2,1
8549,1,0,0,1
5770,1,1,0,0
709,1,1,2,2
2594,1,1,2,1
4828,1,1,3,2
1013,0,1,0,0
3392,0,1,0,0
88,0,0,4,1
4342,1,1,0,1
3547,1,1,2,1
7415,1,1,0,1
6512,1,1,3,1
8037,1,2,0,0
9603,0,1,0,1
5300,0,1,0,2
271,0,2,0,0
2196,0,1,0,1
7315,0,1,2,1
2322,1,1,0,1
461,0,2,1,0
5218,1,1,2,1
6768,1,1,1,0
6235,0,1,2,0
8739,0,1,0,1
3487,0,1,0,1
1747,1,1,0,0
2999,0,1,1,0
2587,1,1,2,0
3031,0,1,0,1
77,1,0,4,1
1200,0,0,0,1
57,0,1,2,1
1085,1,1,2,1
93,1,1,3,1
906,1,1,0,1
2712,1,1,2,1
4960,1,1,2,1
2499,0,1,2,1
4464,1,2,1,1
5223,1,1,3,1
1512,1,1,2,2
7001,1,1,0,1
6763,1,1,2,1
2501,0,1,0,0
6276,1,1,0,0
239,0,1,3,1
1355,0,1,0,0
50,1,2,0,0
793,1,1,0,0
9437,0,2,1,1
3932,0,2,4,0
1775,0,1,0,1
3223,1,2,4,0
595,1,1,3,1
4235,1,1,0,1
6252,1,2,0,1
10454,1,1,0,1
4216,1,1,0,0
2940,0,1,2,1
1536,1,1,3,1
10457,0,0,3,1
6003,1,1,3,1
70,1,1,0,1
10028,0,0,3,1
4262,0,1,0,1
7003,1,1,2,1
417,0,2,0,0
343,0,1,0,1
2138,0,1,3,0
8728,1,1,2,1
173,1,2,0,1
10423,1,2,1,1
2776,0,2,1,1
9648,1,2,0,1
5550,0,1,0,0
2816,1,0,2,1
7440,0,1,2,0
7564,0,1,0,2
1373,1,2,3,0
7739,0,1,2,1
2937,0,1,0,1
1704,1,1,2,1
3942,0,2,0,1
769,0,1,0,1
7648,1,1,0,0
7514,0,1,3,1
722,0,1,0,2
10207,0,1,3,1
9022,1,1,0,1
10402,1,1,0,1
10096,0,2,0,1
7405,0,1,0,0
10070,1,1,0,1
9474,0,1,0,1
1885,0,1,0,1
6251,0,1,1,0
10435,1,1,0,1
7724,0,1,4,0
8459,1,1,0,1
6114,1,1,0,0
7453,0,2,1,0
7772,1,1,0,2
7980,0,1,0,1
8573,0,2,0,1
7310,0,1,0,1
2300,1,1,4,0
854,1,1,3,1
8848,0,1,4,1
3892,1,1,2,0
448,0,1,4,0
8516,1,0,2,1
6208,1,1,2,1
7764,1,1,2,0
6783,0,1,0,0
9315,1,1,0,1
1227,1,1,0,1
7446,0,0,2,1
2979,0,1,2,1
6344,0,1,4,0
3111,0,2,1,0
10308,1,1,0,1
3461,1,1,0,1
3356,1,2,0,1
3535,0,2,1,1
2790,1,1,0,0
3783,0,0,4,0
449,0,1,4,1
3612,1,2,2,1
7518,1,2,0,1
9591,0,1,0,1
113,1,1,0,0
4021,1,1,0,1
1701,0,2,1,1
1578,0,1,2,1
3065,0,1,2,0
4998,1,0,4,0
1370,0,1,0,0
6416,1,1,0,0
9220,1,1,2,1
1488,0,2,1,0
223,1,1,2,1
5727,0,2,0,0
9492,0,1,3,1
2983,0,2,4,0
6442,1,1,3,0
4153,0,1,0,0
1464,1,2,0,0
3382,1,1,0,0
8933,0,2,0,1
190,0,2,0,0
4270,1,1,0,1
9176,1,1,4,1
2506,1,1,3,2
9893,1,1,2,1
10208,1,1,0,1
6275,1,2,0,0
3893,1,1,4,0
5126,1,1,0,1
8521,1,2,0,1
4734,1,0,0,0
79,1,1,0,1
560,0,0,2,2
1238,1,2,1,2
3596,0,1,3,0
5922,0,1,0,1
9607,1,1,2,1
3737,0,1,0,0
10195,0,1,0,1
4049,1,1,0,0
8781,0,1,0,1
5635,0,2,0,0
5278,0,1,4,0
9190,1,1,0,1
903,0,2,0,1
8565,0,1,2,1
205,0,1,2,1
10335,1,1,0,1
3638,0,1,0,1
6733,0,1,4,1
3076,0,2,0,0
2632,0,1,3,1
4148,1,1,0,1
8816,1,1,0,1
9098,1,1,0,1
9875,1,1,3,1
8535,1,2,1,1
9264,1,1,0,1
5708,1,1,0,1
9775,0,1,0,1
2941,0,2,1,1
2779,1,0,4,2
9127,1,1,1,1
5522,0,2,0,0
3484,0,1,0,1
3161,1,2,2,1
5628,0,1,0,1
7610,0,1,0,2
2743,0,1,0,0
4716,1,1,0,0
3707,0,1,0,1
5607,1,0,2,1
7118,1,2,4,0
227,1,1,0,1
9578,0,1,1,1
5175,1,1,0,1
4757,1,1,0,0
2604,0,1,4,1
3159,1,1,2,1
1278,0,1,0,1
436,1,2,1,0
7423,1,1,0,1
6680,0,1,2,1
2112,1,1,2,1
8951,0,1,0,1
6900,0,2,1,0
3769,0,1,0,1
4811,1,0,0,1
1198,1,1,0,1
263,1,0,3,1
431,1,1,0,1
3466,1,1,0,0
9984,1,2,0,1
3524,0,1,0,1
3190,0,2,3,0
775,1,2,1,0
1429,0,1,3,1
670,0,1,0,1
1235,0,1,0,1
2473,0,2,0,0
7411,0,1,0,0
4564,0,2,0,0
8137,0,2,0,1
6596,1,1,0,1
3626,0,0,0,0
3123,0,1,0,1
2898,1,1,0,0
8543,1,1,0,1
339,0,1,0,1
4753,0,2,0,1
9655,1,0,0,1
6410,1,0,4,1
2117,0,2,1,1
7042,0,1,1,1
3112,1,1,2,0
8847,0,1,0,1
6868,0,1,2,0
10329,1,1,0,1
4725,0,1,0,0
1315,1,0,0,1
3098,1,1,3,2
3108,0,1,0,0
4889,1,1,0,1
2697,0,1,0,1
3670,0,1,0,1
6902,0,1,0,0
7228,0,1,0,0
3097,0,1,0,2
3022,1,1,2,0
7933,1,1,1,0
4195,0,2,0,0
5482,0,1,0,0
2724,1,2,1,0
8734,0,1,0,1
1316,0,0,2,1
6524,1,1,2,2
1406,1,2,0,0
4203,0,1,0,1
1482,0,1,2,1
10143,0,1,3,1
6963,0,1,0,0
65,1,1,0,1
5420,0,1,0,0
8936,0,2,0,1
6088,0,2,1,1
1895,0,1,0,1
3384,1,1,0,0
9038,1,1,1,1
5965,1,1,0,1
2953,0,1,3,0
1789,1,2,0,1
8852,1,1,3,1
3710,0,2,0,0
4465,0,1,0,0
3936,1,1,0,0
756,1,1,0,1
7213,0,1,2,2
5881,1,0,3,1
9290,0,1,2,1
1669,0,1,0,1
540,1,2,4,0
7060,1,1,0,1
4501,0,1,1,0
10042,0,1,0,1
7167,0,1,2,0
9519,0,1,0,1
451,0,1,2,0
3775,1,0,4,1
5364,0,1,0,0
319,1,1,0,1
1610,0,1,2,1
2692,0,1,1,0
5988,0,1,0,0
4733,0,1,2,0
416,1,2,0,1
4224,0,1,0,1
3147,1,1,4,2
907,0,1,0,1
450,1,1,2,1
8427,1,1,3,1
9119,0,2,1,1
7820,0,1,2,1
8860,1,2,1,1
5151,1,1,2,1
6144,0,1,4,1
6983,0,1,0,1
298,1,1,0,1
10499,1,1,0,1
8776,0,2,1,1
2684,0,1,0,1
6366,0,1,0,2
492,0,1,0,0
7544,1,0,0,0
9653,1,1,2,1
6241,0,1,4,1
4352,0,1,0,1
7549,1,1,2,0
753,1,2,0,1
3456,1,1,3,1
7755,0,1,0,0
8817,0,1,3,1
7321,0,0,2,1
5946,0,0,2,1
5221,1,1,0,1
4429,0,1,0,0
5473,0,1,3,0
8497,0,1,4,1
8558,1,1,0,1
9073,1,1,0,1
1890,1,1,3,1
2049,1,1,0,1
2459,0,1,0,0
4543,0,1,0,0
4397,0,0,0,0
7936,1,1,0,0
3871,1,1,0,0
817,1,1,2,0
9300,1,1,0,1
6860,1,1,3,0
1450,1,1,0,1
5803,1,1,0,1
78,1,2,2,2
6134,1,1,4,1
2821,0,0,0,1
3608,0,1,2,1
4421,1,1,0,1
1631,0,2,4,0
4546,0,2,1,0
8034,0,1,3,0
1106,1,1,0,1
6007,1,0,4,2
5127,0,1,0,0
3992,0,2,0,0
9567,1,1,0,1
2664,1,1,2,1
8983,0,1,1,1
1624,1,1,2,2
8261,1,1,0,1
6922,1,2,1,0
3909,1,1,2,2
425,1,1,0,1
3515,0,1,2,1
5898,0,2,0,0
5992,0,1,0,0
7856,0,1,0,1
9061,1,2,0,1
3170,1,1,0,2
2787,1,1,0,1
493,0,2,0,0
1365,1,0,3,2
2337,0,1,0,0
10157,1,1,4,1
5923,0,0,3,1
1824,1,1,2,1
8002,1,0,3,1
767,1,1,4,2
7553,1,1,4,0
4344,1,1,0,0
7671,0,1,0,0
9287,0,1,0,1
7422,0,1,3,1
4013,0,1,0,1
8447,1,1,3,1
5554,1,0,2,1
5506,0,1,4,0
484,1,1,0,0
1590,1,1,3,1
7278,1,1,2,0
2744,1,1,0,0
7711,1,1,0,0
8546,0,2,1,1
1057,0,0,2,1
8713,0,2,0,1
9844,1,1,3,1
8588,1,2,1,1
2414,0,1,0,0
5464,0,1,2,1
5532,0,1,0,1
789,0,2,1,1
6714,0,1,4,1
9289,0,1,0,1
8662,0,1,3,1
8221,0,2,3,1
657,0,1,0,1
5526,0,1,4,0
4214,1,1,0,0
8113,0,1,0,0
5778,0,1,0,1
7426,0,1,2,0
9959,0,0,4,1
1140,0,2,0,1
3888,1,1,0,1
7401,1,2,1,0
1465,0,2,0,0
5414,1,2,1,1
4251,0,1,0,1
8201,0,1,0,1
5588,1,1,0,1
5280,0,1,2,2
5876,0,0,4,1
8393,1,1,3,1
1725,1,1,0,0
7194,0,1,2,1
649,1,1,3,0
2630,0,1,0,1
6393,1,0,4,0
6148,1,1,0,1
2220,1,1,0,0
374,1,2,3,0
7251,1,1,4,0
2893,0,1,2,1
5947,0,1,0,1
6696,1,1,0,0
8072,0,0,2,1
7706,1,1,0,0
3876,0,1,3,1
10440,1,2,0,1
8042,1,1,0,1
6895,0,1,2,1
1204,1,1,3,1
7693,1,1,4,0
9482,0,2,0,1
7847,1,1,3,0
2637,1,1,3,0
